id,ycoord,xcoord
249 ,32.80127696,-96.98757413
250 ,32.75783087,-97.00581725
251 ,32.69021177,-97.0012903
252 ,32.66521177,-97.0012903
253 ,32.77771177,-96.97963966
254 ,32.75271177,-96.97963966
255 ,32.70271177,-96.97963966
256 ,32.68071333,-96.98869357
257 ,32.96521177,-96.95798903
258 ,32.94021177,-96.95798903
259 ,32.76521177,-96.95798903
260 ,32.74021177,-96.95798903
261 ,32.61521177,-96.95798903
262 ,32.95271177,-96.93633839
263 ,32.92771177,-96.93633839
264 ,32.62771177,-96.93633839
265 ,32.84021177,-96.91468776
266 ,32.81521177,-96.91468776
267 ,32.76521177,-96.91468776
268 ,33.10271177,-96.89303712
269 ,32.86031409,-96.88976492
270 ,32.81944516,-96.89077365
271 ,32.77771177,-96.89303712
272 ,32.67771177,-96.89303712
273 ,32.65271177,-96.89303712
274 ,33.01521177,-96.87138649
275 ,32.79021177,-96.87138649
276 ,32.76521177,-96.87138649
277 ,32.71521177,-96.87138649
278 ,32.69021177,-96.87138649
279 ,32.66521177,-96.87138649
280 ,32.56521177,-96.87138649
281 ,32.77771177,-96.84973585
282 ,32.57771177,-96.84973585
283 ,32.55246574,-96.85396757
284 ,32.40271177,-96.84973585
285 ,32.37771177,-96.84973585
286 ,32.69021177,-96.82808522
287 ,32.66521177,-96.82808522
288 ,32.64021177,-96.82808522
289 ,32.56521177,-96.82808522
290 ,32.54021177,-96.82808522
291 ,32.39021177,-96.82808522
292 ,32.36521177,-96.82808522
293 ,32.70271177,-96.80643458
294 ,32.67771177,-96.80643458
295 ,32.54424834,-96.8106663
296 ,32.52771177,-96.80643458
297 ,32.38095936,-96.81844084
298 ,32.34897211,-96.81125677
299 ,32.94021177,-96.78478395
300 ,32.91521177,-96.78478395
301 ,32.71521177,-96.78478395
302 ,32.61521177,-96.78478395
303 ,32.54021177,-96.78478395
304 ,33.12771177,-96.76313331
305 ,32.92771177,-96.76313331
306 ,32.77771177,-96.76313331
307 ,32.72771177,-96.76313331
308 ,32.70271177,-96.76313331
309 ,32.67771177,-96.76313331
310 ,32.60271177,-96.76313331
311 ,32.55271177,-96.76313331
312 ,32.52771177,-96.76313331
313 ,32.79021177,-96.74148268
314 ,32.76521177,-96.74148268
315 ,32.7404578,-96.74935564
316 ,32.71521177,-96.74148268
317 ,32.69021177,-96.74148268
318 ,32.66521177,-96.74148268
319 ,32.77771177,-96.71983204
320 ,32.75271177,-96.71983204
321 ,32.72771177,-96.71983204
322 ,32.70271177,-96.71983204
323 ,32.89021177,-96.69818141
324 ,32.86521177,-96.69818141
325 ,32.81521177,-96.69818141
326 ,32.79021177,-96.69818141
327 ,32.71521177,-96.69818141
328 ,32.61521177,-96.69818141
329 ,32.59508316,-96.68799577
330 ,32.87771177,-96.67653077
331 ,32.80271177,-96.67653077
332 ,32.70271177,-96.67653077
333 ,32.67771177,-96.67653077
334 ,32.60271177,-96.67653077
335 ,32.81521177,-96.65488014
336 ,32.79021177,-96.65488014
